2020-06-23 00:03:29,959 INFO [dump-all-ok] sentinel-service-local.yaml+DEFAULT_GROUP, 1592746448315, length=40, md5=f180443c5686be67a4050cbdacc3c89a

2020-06-23 00:03:29,968 INFO [dump-all-ok] sentinel-service+DEFAULT_GROUP, 1592748000054, length=204, md5=20b5a1c2a4935575daabf2c090f13d5e

2020-06-23 14:43:40,021 INFO [dump-all-ok] sentinel-service-local.yaml+DEFAULT_GROUP, 1592746448315, length=40, md5=f180443c5686be67a4050cbdacc3c89a

2020-06-23 14:43:40,023 INFO [dump-all-ok] sentinel-service+DEFAULT_GROUP, 1592748000054, length=204, md5=20b5a1c2a4935575daabf2c090f13d5e

2020-06-23 18:04:16,145 WARN [dump-ignore] ignore to save cache file. groupKey=transport.type+SEATA_GROUP, md5=b136ef5f6a01d816991fe3cf7a6ac763, lastModifiedOld=1592906504689, lastModifiedNew=1592906656086

2020-06-23 18:04:16,250 WARN [dump-ignore] ignore to save cache file. groupKey=transport.heartbeat+SEATA_GROUP, md5=b326b5062b2f0e69046810717534cb09, lastModifiedOld=1592906504891, lastModifiedNew=1592906656229

2020-06-23 18:04:16,267 WARN [dump-ignore] ignore to save cache file. groupKey=transport.server+SEATA_GROUP, md5=b6d9dfc0fb54277321cebc0fff55df2f, lastModifiedOld=1592906504819, lastModifiedNew=1592906656172

2020-06-23 18:04:16,370 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.boss-thread-prefix+SEATA_GROUP, md5=0f8db59a3b7f2823f38a70c308361836, lastModifiedOld=1592906504951, lastModifiedNew=1592906656285

2020-06-23 18:04:16,372 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.worker-thread-prefix+SEATA_GROUP, md5=a78ec7ef5d1631754c4e72ae8a3e9205, lastModifiedOld=1592906505021, lastModifiedNew=1592906656339

2020-06-23 18:04:16,474 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.share-boss-worker+SEATA_GROUP, md5=68934a3e9455fa72420237eb05902327, lastModifiedOld=1592906505130, lastModifiedNew=1592906656450

2020-06-23 18:04:16,475 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.server-executor-thread-prefix+SEATA_GROUP, md5=11a36309f3d9df84fa8b59cf071fa2da, lastModifiedOld=1592906505078, lastModifiedNew=1592906656392

2020-06-23 18:04:16,577 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.client-selector-thread-prefix+SEATA_GROUP, md5=cd7ec5a06541e75f5a7913752322c3af, lastModifiedOld=1592906505183, lastModifiedNew=1592906656506

2020-06-23 18:04:16,580 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.client-selector-thread-size+SEATA_GROUP, md5=c4ca4238a0b923820dcc509a6f75849b, lastModifiedOld=1592906505236, lastModifiedNew=1592906656559

2020-06-23 18:04:16,682 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.client-worker-thread-prefix+SEATA_GROUP, md5=61cf4e69a56354cf72f46dc86414a57e, lastModifiedOld=1592906505288, lastModifiedNew=1592906656614

2020-06-23 18:04:16,684 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.boss-thread-size+SEATA_GROUP, md5=c4ca4238a0b923820dcc509a6f75849b, lastModifiedOld=1592906505345, lastModifiedNew=1592906656668

2020-06-23 18:04:16,786 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.worker-thread-size+SEATA_GROUP, md5=c9f0f895fb98ab9159f51fd0297e236d, lastModifiedOld=1592906505403, lastModifiedNew=1592906656722

2020-06-23 18:04:16,789 WARN [dump-ignore] ignore to save cache file. groupKey=transport.shutdown.wait+SEATA_GROUP, md5=eccbc87e4b5ce2fe28308fd9f2a7baf3, lastModifiedOld=1592906505455, lastModifiedNew=1592906656776

2020-06-23 18:04:16,993 WARN [dump-ignore] ignore to save cache file. groupKey=service.enableDegrade+SEATA_GROUP, md5=68934a3e9455fa72420237eb05902327, lastModifiedOld=1592906505564, lastModifiedNew=1592906656941

2020-06-23 18:04:17,095 WARN [dump-ignore] ignore to save cache file. groupKey=service.disable+SEATA_GROUP, md5=68934a3e9455fa72420237eb05902327, lastModifiedOld=1592906505614, lastModifiedNew=1592906656994

2020-06-23 18:04:17,097 WARN [dump-ignore] ignore to save cache file. groupKey=service.max.commit.retry.timeout+SEATA_GROUP, md5=6bb61e3b7bce0931da574d19d1d82c88, lastModifiedOld=1592906505668, lastModifiedNew=1592906657047

2020-06-23 18:04:17,199 WARN [dump-ignore] ignore to save cache file. groupKey=client.async.commit.buffer.limit+SEATA_GROUP, md5=b7a782741f667201b54880c925faec4b, lastModifiedOld=1592906505783, lastModifiedNew=1592906657163

2020-06-23 18:04:17,201 WARN [dump-ignore] ignore to save cache file. groupKey=service.max.rollback.retry.timeout+SEATA_GROUP, md5=6bb61e3b7bce0931da574d19d1d82c88, lastModifiedOld=1592906505723, lastModifiedNew=1592906657105

2020-06-23 18:04:17,303 WARN [dump-ignore] ignore to save cache file. groupKey=client.lock.retry.internal+SEATA_GROUP, md5=d3d9446802a44259755d38e6d163e820, lastModifiedOld=1592906505842, lastModifiedNew=1592906657215

2020-06-23 18:04:17,305 WARN [dump-ignore] ignore to save cache file. groupKey=client.lock.retry.times+SEATA_GROUP, md5=34173cb38f07f89ddbebc2ac9128303f, lastModifiedOld=1592906505892, lastModifiedNew=1592906657265

2020-06-23 18:04:17,407 WARN [dump-ignore] ignore to save cache file. groupKey=store.mode+SEATA_GROUP, md5=8c7dd922ad47494fc02c388e12c00eac, lastModifiedOld=1592906505951, lastModifiedNew=1592906657324

2020-06-23 18:04:17,409 WARN [dump-ignore] ignore to save cache file. groupKey=store.file.dir+SEATA_GROUP, md5=6a8dec07c44c33a8a9247cba5710bbb2, lastModifiedOld=1592906506005, lastModifiedNew=1592906657382

2020-06-23 18:04:17,512 WARN [dump-ignore] ignore to save cache file. groupKey=store.file.max-global-session-size+SEATA_GROUP, md5=10a7cdd970fe135cf4f7bb55c0e3b59f, lastModifiedOld=1592906506111, lastModifiedNew=1592906657490

2020-06-23 18:04:17,514 WARN [dump-ignore] ignore to save cache file. groupKey=store.file.max-branch-session-size+SEATA_GROUP, md5=c76fe1d8e08462434d800487585be217, lastModifiedOld=1592906506059, lastModifiedNew=1592906657438

2020-06-23 18:04:17,616 WARN [dump-ignore] ignore to save cache file. groupKey=store.file.file-write-buffer-cache-size+SEATA_GROUP, md5=c76fe1d8e08462434d800487585be217, lastModifiedOld=1592906506168, lastModifiedNew=1592906657549

2020-06-23 18:04:17,618 WARN [dump-ignore] ignore to save cache file. groupKey=store.file.flush-disk-mode+SEATA_GROUP, md5=0df93e34273b367bb63bad28c94c78d5, lastModifiedOld=1592906506229, lastModifiedNew=1592906657608

2020-06-23 18:04:17,720 WARN [dump-ignore] ignore to save cache file. groupKey=store.db.datasource+SEATA_GROUP, md5=3a9f384fb40c59fbdc67024ee97d94b1, lastModifiedOld=1592906506333, lastModifiedNew=1592906657714

2020-06-23 18:04:17,721 WARN [dump-ignore] ignore to save cache file. groupKey=store.file.session.reload.read_size+SEATA_GROUP, md5=f899139df5e1059396431415e770c6dd, lastModifiedOld=1592906506284, lastModifiedNew=1592906657663

